episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
59,779,4153.861732881778,10,4,0,100
60,514,2006.4834185713432,10,4,0,100
61,933,4255.896309814265,10,7,1,90
62,550,1891.9032994638906,10,5,0,100
63,561,1974.6445907218995,10,6,1,90
64,768,2454.0310990386924,10,6,5,50
65,530,1767.0234403292516,10,6,2,80
66,482,913.4612252101772,10,4,4,60
67,1559,8924.858213524161,10,4,4,60
68,437,1175.1328384611115,10,7,2,80
69,451,1754.7717573550367,10,3,0,100
70,649,2308.3256512294397,10,5,4,60
71,408,1127.344635206074,10,4,0,100
72,915,4777.84270669285,10,7,2,80
73,848,3459.607235945306,10,5,5,50
74,492,503.07354029858095,10,6,5,50
75,767,2316.184801751322,10,3,4,60
76,897,3930.366332209845,10,5,3,70
77,563,2215.5422544042535,10,6,0,100
78,484,1789.8296038435794,10,7,1,90
79,497,1518.2987206058006,10,5,1,90
80,591,2387.2219033745364,10,6,0,100
81,463,261.93241565744955,10,4,4,60
82,509,1031.303662977462,10,8,4,60
83,441,473.02181756097366,10,6,5,50
84,625,3140.5415717179017,10,4,0,100
85,579,1129.2933732162128,10,3,5,50
86,537,809.3815439554788,10,7,5,50
87,629,2153.8510011908697,10,6,0,100
88,501,1697.3493465140043,10,7,2,80
89,867,4073.0261260177995,10,2,2,80
90,476,937.1383307966549,10,6,2,80
91,564,743.0713248921858,10,2,6,40
92,674,2533.8697633625898,10,5,1,90
93,500,2013.0394120360368,10,5,1,90
94,703,3738.977387357356,10,4,0,100
95,633,2895.423602117528,10,5,1,90
96,490,1884.3558393016558,10,5,1,90
97,503,1747.8157600524737,10,5,1,90
98,567,1934.4649201832738,10,4,3,70
99,572,515.6156139620008,10,6,6,40
100,704,3153.031935980579,10,6,3,70
101,689,2228.287833054147,10,5,4,60
102,687,2300.9661857218084,10,5,3,70
103,477,1187.848823108936,10,5,3,70
104,591,93.3492829181259,10,5,8,20
105,474,1644.0015693983657,10,3,0,100
106,408,1133.975244867785,10,4,2,80
107,685,3059.89653584268,10,4,1,90
108,480,1394.310908694005,10,6,3,70
109,493,1483.1405969461825,10,7,2,80
110,425,1011.8017488757323,10,6,3,70
111,718,2816.736621792011,10,4,2,80
112,546,1893.5086414646894,10,4,0,100
113,442,1151.7732984048282,10,3,1,90
114,701,2822.958280571015,10,6,2,80
115,488,857.3740336737209,10,7,4,60
116,442,725.6321439705406,10,6,3,70
117,482,1155.3736132629938,10,3,1,90
118,532,1612.55026273787,10,6,2,80
119,547,1924.3259230599288,10,7,1,90
120,421,1294.4926272603166,10,5,0,100
121,792,3133.5647211763066,10,4,4,60
122,567,1812.3676277839372,10,5,3,70
123,596,2321.1592437024246,10,6,2,80
124,463,1685.8346773360165,10,2,0,100
125,571,2596.4915242085526,10,5,1,90
126,395,1095.332483610965,10,7,2,80
127,405,1388.9465794644523,10,6,1,90
128,2396,15356.45243581859,10,5,3,70
129,542,1336.5409023717825,10,2,4,60
130,476,1283.2142727160563,10,3,2,80
131,506,1033.9273257922707,10,5,3,70
132,581,2349.192497813848,10,4,2,80
133,571,842.8039003548237,10,3,7,30
134,648,2941.4821257947297,10,5,0,100
135,519,1572.5534222052536,10,6,1,90
136,560,1376.4827138336518,10,6,3,70
137,620,919.5539579209862,10,6,7,30
138,1417,8910.66900365701,10,5,0,100
139,543,1932.5445264522298,10,4,2,80
140,682,2903.6253348637324,10,6,1,90
141,867,3159.598542076964,10,7,5,50
142,620,1467.4566799845227,10,4,3,70
143,590,1692.1324551528655,10,6,4,60
144,616,1281.3718693734907,10,4,5,50
145,457,1125.6267272171176,10,7,3,70
146,863,3807.5726313527043,10,2,3,70
147,639,2283.7628073831306,10,5,3,70
148,449,1272.7027761563627,10,3,0,100
149,723,2683.340852197314,10,6,1,90
150,628,2640.537423695217,10,4,2,80
151,1060,5516.799759682373,10,6,4,60
152,529,1324.9128411266051,10,5,2,80
153,544,1269.6752844796742,10,7,3,70
154,808,1836.5817786079474,10,4,6,40
155,421,754.5453849153668,10,5,3,70
156,532,1733.6805940354056,10,3,3,70
157,2870,19125.440312286195,10,3,4,60
158,662,2832.6068767330853,10,6,1,90
159,512,1256.1689201554739,10,3,3,70
160,428,1274.4371756416708,10,6,0,100
161,456,967.1673826016688,10,6,3,70
162,609,2255.2423756685694,10,3,3,70
163,609,2401.576985867625,10,4,0,100
164,723,3555.3882484303313,10,5,1,90
165,479,1042.2974000217255,10,7,3,70
166,763,2994.6297852360835,10,5,3,70
167,482,1782.892538542409,10,4,1,90
168,513,828.7880440410496,10,6,3,70
169,491,760.3745856770273,10,4,4,60
170,623,1918.8895781349804,10,3,3,70
171,426,762.9670387702483,10,5,4,60
172,719,3332.105692792177,10,6,2,80
173,567,1624.425686596061,10,6,2,80
174,710,2118.7161630941887,10,4,5,50
175,680,3134.6943513549936,10,2,0,100
176,655,2768.424095484248,10,2,2,80
177,481,1651.492790184961,10,5,2,80
178,504,1561.431953114598,10,3,2,80
179,504,1791.328189888033,10,4,0,100
180,442,1744.9374610572938,10,4,1,90
181,395,1174.8597641255808,10,4,0,100
182,742,3398.7394512859923,10,6,3,70
183,411,1464.7240780126858,10,5,0,100
184,756,2128.257983151427,10,5,5,50
185,724,2116.5671240208812,10,6,5,50
186,604,1677.1084261923834,10,5,3,70
187,804,3725.9753656122343,10,6,3,70
188,335,769.7380848280218,10,5,1,90
189,642,2414.653938672911,10,7,1,90
190,588,1294.1289731502984,10,5,3,70
191,497,1032.2290236918377,10,5,4,60
192,493,1063.493945999409,10,5,4,60
193,726,3332.3302534521054,10,3,2,80
194,762,2815.060245588594,10,2,5,50
195,564,961.2589565345418,10,4,5,50
196,940,4934.290652199249,10,5,0,100
197,538,2079.2496500110374,10,4,1,90
198,573,1949.0309829157352,10,3,2,80
199,482,1533.8196202436357,10,5,0,100
200,633,2353.973319538935,10,6,2,80
201,750,3670.905154373559,10,5,1,90
202,985,3917.494685504088,10,4,5,50
203,467,731.466636590025,10,7,3,70
204,494,1524.1733131747835,10,6,2,80
205,424,23.461321815800485,10,6,4,60
206,456,1242.9495125146582,10,5,2,80
207,654,2953.143273676115,10,7,2,80
208,601,1790.026845960048,10,7,4,60
209,580,1915.024295366831,10,8,3,70
210,745,2423.535779256741,10,7,4,60
211,1259,7018.5273398030495,10,5,3,70
212,445,236.35503789961214,10,5,5,50
213,575,2475.0479084578205,10,2,0,100
214,315,727.556848562699,10,4,0,100
215,686,1871.5164586723013,10,4,4,60
216,566,1022.72524403735,10,4,5,50
217,510,961.8820753287401,10,4,4,60
218,569,1498.74503307385,10,8,3,70
219,426,406.58886458467396,10,6,4,60
220,596,1955.3341783300814,10,6,0,100
221,470,1272.0185106459858,10,5,3,70
222,657,1497.586611723671,10,3,6,40
223,1381,7675.712331138757,10,5,4,60
224,764,3102.0407308830713,10,7,3,70
225,607,1567.3139936349257,10,4,3,70
226,481,1909.8545965074327,10,3,0,100
227,567,1528.4331579453444,10,5,4,60
228,668,2514.8908863385814,10,4,3,70
229,588,1492.1077861279725,10,5,4,60
230,462,745.7711767848041,10,7,5,50
231,444,807.7999644206453,10,4,4,60
232,706,2926.327534986331,10,4,2,80
233,540,1604.1281025629232,10,7,2,80
234,736,2122.0056037304835,10,7,6,40
235,502,1752.3940769857725,10,4,1,90
236,606,1412.0639633215824,10,3,4,60
237,808,3178.2170967176085,10,6,4,60
238,667,2060.300237362439,10,7,2,80
239,432,940.0906406613386,10,5,2,80
240,732,3196.4274451742467,10,5,1,90
241,419,851.2016333339972,10,5,3,70
242,449,1129.0894219458405,10,5,1,90
243,566,499.57108994843514,10,7,8,20
244,471,1630.2008908836142,10,2,0,100
245,562,2194.1967995413843,10,5,2,80
246,400,493.7446079798564,10,7,4,60
247,715,2779.686948807971,10,5,3,70
248,498,1030.1299307176698,10,6,3,70
249,690,2453.6152337909384,10,5,3,70
250,549,2247.653077770386,10,5,1,90
251,997,4542.922654881439,10,6,3,70
252,651,2369.3999398888623,10,6,0,100
253,627,1333.4770941676766,10,4,7,30
254,1949,12458.054162299239,10,5,3,70
255,585,2344.7989021155136,10,3,0,100
256,507,583.9744158950958,10,3,5,50
257,809,2355.299197031639,10,3,5,50
258,827,3454.248257794786,10,3,4,60
259,777,3587.6807475724527,10,3,2,80
260,897,2231.0394109093404,10,6,8,20
261,531,1918.9678560087773,10,5,1,90
262,371,1014.6943417618454,10,1,0,100
263,590,1738.663505809438,10,5,3,70
264,624,2018.1576673649513,10,7,2,80
265,1503,9449.74785078656,10,4,1,90
266,480,758.6208437549208,10,5,5,50
267,515,1874.1745760390602,10,2,0,100
268,530,1090.9281203733651,10,4,3,70
269,545,1757.4831878252576,10,6,1,90
270,536,2121.577944818182,10,6,1,90
271,648,2478.3955222216496,10,5,2,80
272,888,3816.7379438936073,10,3,4,60
273,605,2305.623500407172,10,1,0,100
274,775,3735.274821460526,10,5,0,100
275,412,966.5935198268883,10,5,1,90
276,496,1441.0023512246955,10,5,3,70
277,600,1690.568962134428,10,4,3,70
278,608,1404.7829457429398,10,4,4,60
279,680,2841.9706306795124,10,6,3,70
280,713,3006.9855250237392,10,3,3,70
281,486,1400.4940085512046,10,6,3,70
282,708,2814.6113724021875,10,6,3,70
283,555,2003.6063567307601,10,6,2,80
284,1014,5822.011652647831,10,4,2,80
285,491,839.6239282290584,10,6,4,60
286,501,1440.5555367738164,10,5,3,70
287,685,2698.694540856547,10,4,4,60
288,699,2976.2560630765006,10,4,1,90
289,604,1083.1850765290249,10,5,6,40
290,538,1126.8014960299693,10,5,4,60
291,456,1233.0060763748481,10,5,1,90
292,593,2304.5348268663784,10,4,0,100
293,729,1736.2466043845743,10,3,5,50
294,679,2697.6858360560204,10,7,2,80
295,570,1070.861110235083,10,6,6,40
296,1035,4816.739794979112,10,5,2,80
297,714,3428.782778432466,10,4,0,100
298,472,1693.560443368142,10,3,0,100
299,458,1517.2842722451478,10,2,0,100
300,635,1824.4253635773623,10,6,4,60
301,655,2726.4420671421753,10,5,0,100
302,592,624.4304671132162,10,3,7,30
303,542,1708.9576374120331,10,4,2,80
304,505,1391.8638823763074,10,4,2,80
305,649,2617.089473676518,10,4,1,90
306,478,1871.1868075564191,10,3,0,100
307,428,1185.509717602553,10,5,2,80
308,570,1375.1552009809354,10,7,5,50
309,589,2371.208250543334,10,6,1,90
310,1211,7036.185960776983,10,6,1,90
311,559,1099.668509226032,10,3,5,50
312,602,1261.9338821653967,10,5,5,50
313,548,2017.1511804083718,10,3,2,80
314,717,2759.171111133561,10,3,3,70
315,1467,8357.748429948944,10,7,4,60
316,524,1009.4359473833591,10,7,3,70
317,648,3023.4429864893673,10,5,1,90
318,947,4756.425893695252,10,3,1,90
319,432,1335.6437758822271,10,4,0,100
320,480,1731.7926463878175,10,7,0,100
321,495,1885.197337468335,10,6,1,90
322,581,2172.3876759430127,10,6,2,80
323,804,3613.321491344969,10,4,2,80
324,553,1720.1569475125978,10,7,3,70
325,728,2304.77487931172,10,3,4,60
326,497,1212.841060630791,10,4,2,80
327,636,1761.1907573131234,10,5,5,50
328,597,2436.8119582281884,10,9,1,90
329,506,1516.5514469671493,10,4,3,70
330,747,2575.4647561028532,10,8,4,60
331,539,2380.7883699317413,10,6,1,90
332,522,1969.0377395747314,10,5,0,100
333,537,1081.3535960476338,10,4,4,60
334,532,1641.5092884368833,10,7,3,70
335,551,1526.27304076019,10,8,3,70
336,554,1717.2515822986309,10,6,3,70
337,608,2576.819549236149,10,5,1,90
338,609,1483.2233349964908,10,4,4,60
339,575,2405.670112141409,10,6,0,100
340,877,3789.1504062407644,10,5,3,70
341,605,1609.6101949110669,10,7,3,70
342,565,1472.6442239582802,10,6,4,60
343,692,3074.323638524201,10,3,1,90
344,473,1437.0525073631427,10,5,3,70
345,2374,15865.2231970119,10,5,2,80
346,576,1083.737826928052,10,6,4,60
347,868,3818.259619498598,10,6,1,90
348,846,4218.605543578184,10,3,0,100
349,722,2716.340442487539,10,3,2,80
350,541,2265.9207391031873,10,5,0,100
351,1332,6672.776975188427,10,6,6,40
352,676,2187.432421628031,10,5,4,60
353,658,2647.1934316622087,10,5,1,90
354,908,4438.0910615215025,10,5,3,70
355,597,1927.089762280101,10,6,2,80
356,465,1594.5726865621957,10,5,0,100
357,1061,4888.21596509806,10,6,3,70
358,593,1365.8470684262402,10,5,4,60
359,524,1104.0706647637762,10,5,4,60
360,506,1365.510774828696,10,9,2,80
361,576,1369.8316055414425,10,7,3,70
362,820,3828.651913445983,10,5,2,80
363,601,2354.875762544173,10,4,0,100
364,569,1172.610902897511,10,6,5,50
365,438,1577.1011936263137,10,4,0,100
366,563,1470.6333875953756,10,7,3,70
367,455,395.6084835345485,10,4,5,50
368,495,1883.3195216284084,10,5,1,90
369,500,1457.4769993769637,10,4,2,80
370,727,2295.6810385137123,10,8,4,60
371,388,1176.278467699671,10,3,0,100
372,687,2325.597590201477,10,4,4,60
373,577,1731.7275347276222,10,5,2,80
374,667,2349.8315577762155,10,2,2,80
375,930,5416.778704438393,10,5,0,100
376,566,2096.9050686401224,10,6,1,90
377,759,3497.685505220865,10,3,2,80
378,518,1599.3999684213563,10,4,0,100
379,636,2819.9346254989528,10,6,0,100
380,1157,5477.99302721703,10,7,5,50
381,580,1332.4285442751634,10,7,5,50
382,497,1534.3047114543542,10,4,2,80
383,499,1616.6121997923137,10,6,1,90
384,778,2416.722433159453,10,5,6,40
385,392,1007.4575702687786,10,4,0,100
386,506,1739.7698447788794,10,5,2,80
387,475,1350.834792522926,10,6,2,80
388,586,1152.886618131996,10,7,4,60
389,762,4003.6799826234355,10,4,1,90
390,780,2942.400074930732,10,7,4,60
391,578,1966.07685338776,10,5,3,70
392,508,1183.3226205088379,10,5,4,60
393,561,2145.4187190152643,10,3,0,100
394,488,1926.9153388265502,10,6,1,90
395,466,1056.644469183334,10,5,3,70
396,416,1106.7165853843721,10,5,0,100
397,909,5065.691492640838,10,4,1,90
398,504,1642.8420986762976,10,5,1,90
399,449,332.0416130495685,10,5,5,50
