episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_GO_HOLD_INTCPT,state_PURSUING,state_HOLD_INTCPT
0,1474,2179.3387633967864,40,17,16,68,0.0,0.06784260515603795,94.9147542917822,1.4630405285823844,3.209250191729101,0.3451123827502802
1,1832,12347.506626899782,40,20,16,68,0.0,0.05458515283842794,96.14901746724892,0.7723799126637555,2.985807860262009,0.03820960698689956
2,1639,15752.428067809806,40,16,11,78,0.0,0.061012812690665046,95.06813097417124,1.2558470612161887,0.050844010575554204,3.5641651413463493
3,1902,18627.47173637422,40,20,15,70,0.0,0.05257623554153521,97.35804416403784,1.6430073606729758,0.03154574132492114,0.9148264984227128
4,1840,20867.935830145598,40,15,13,74,0.0,0.05434782608695654,94.93695652173912,1.4021739130434783,0.2695652173913043,3.336956521739131
5,1632,21898.94384318113,40,16,9,82,0.0,0.06127450980392155,94.38572303921568,3.6228553921568634,1.6339869281045754,0.2961601307189542
6,1842,24852.34075890745,40,20,11,78,0.0,0.054288816503800234,96.68295331161782,0.8849077090119437,0.06514657980456026,2.3127035830618894
7,1810,19618.3967320928,40,19,12,76,0.0,0.055248618784530364,96.63509602736123,2.3309655353854244,0.03683241252302026,0.9418574059458039
8,1565,7161.198351962344,40,16,14,72,0.0,0.06389776357827477,95.35676251331203,1.1608093716719914,3.3865814696485628,0.03194888178913738
9,1802,21040.154249371924,40,21,11,78,0.0,0.055493895671476126,96.43962848297213,0.31543898592207487,0.9521584204684852,2.237280214965828
10,1841,26742.463967211846,40,20,10,80,0.0,0.05431830526887561,96.83595871808797,1.1352525801195006,0.3367734926670288,1.6376969038565996
11,1840,22843.945897507914,40,14,12,76,0.0,0.0543478260869565,95.43896321070235,1.1872909698996656,3.256688963210702,0.06270903010033445
12,1902,24800.839555120507,40,20,12,76,0.0,0.05257623554153521,96.08044164037855,1.2276550998948474,2.5604626708727656,0.07886435331230285
13,1632,11611.200990557212,40,20,14,72,0.0,0.061274509803921594,95.21752450980391,2.386642156862745,2.294730392156863,0.039828431372549024
14,1632,18002.08443715553,40,14,11,78,0.0,0.061274509803921545,94.81759049773756,1.5200791855203617,0.275735294117647,3.325320512820513
15,1839,16701.88920774346,40,21,15,70,0.0,0.054377379010331676,95.88735296642913,0.981654789502304,3.036547322629576,0.04006754242866547
16,1474,10263.765289846502,40,20,12,76,0.0,0.06784260515603797,94.78290366350066,2.8833107191316145,1.882632293080054,0.3833107191316146
17,1775,24628.74133066095,40,18,9,82,0.0,0.05633802816901411,95.72343149807938,1.3393085787451984,0.2970550576184379,2.583866837387964
18,1852,25315.331351701447,40,15,10,80,0.0,0.05399568034557234,95.87257019438445,1.3822894168466524,0.25485961123110157,2.4362850971922247
19,1632,11523.405744689753,40,18,14,72,0.0,0.061274509803921566,96.57976827094474,0.8077094474153297,2.4676916221033864,0.08355614973262032
20,1810,3307.0744209640625,40,17,20,60,0.0,0.05524861878453039,96.52414124429497,0.03122748018256065,1.5085275042036992,1.88085515253423
21,1632,5609.230147719487,40,18,17,66,0.0,0.061274509803921566,95.17602495543674,3.601270053475936,1.1280080213903745,0.03342245989304813
22,1632,1543.9690536599944,40,19,19,62,0.0,0.0612745098039216,95.22350606909431,1.2488328664799253,3.3934407096171797,0.07294584500466852
23,1664,4161.0100172862085,40,19,18,64,0.0,0.06009615384615388,95.28960622710623,1.6140109890109888,2.956158424908425,0.08012820512820512
24,1786,10732.086165049752,40,21,16,68,0.0,0.05599104143337064,96.35763540991336,2.6109506689456,0.9135380444392057,0.06188483526846231
25,1808,19565.360084821856,40,21,12,76,0.0,0.05530973451327434,96.49219841639497,0.8995109455053562,0.05822077317186772,2.4947601304145315
