episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
0,1292,7128.47760295221,40,25,10,80,1503.9999999999982,0.2889576883384932,95.18059855521155,0.6707946336429308,0.9391124871001032,2.9205366357069145
1,1210,10287.313464409628,40,18,8,84,1750.000000000005,0.08264462809917356,95.83020285499623,1.3974455296769346,0.8827948910593538,1.8069120961682945
2,1421,8991.925197537501,40,22,11,78,1431.999999999999,0.16420361247947454,96.88013136289,0.4691531785127843,0.3244976151380092,2.1620142309797483
3,1293,2563.3189009898183,40,18,12,76,1875.9999999999973,0.07733952049497289,96.31231104548971,0.671447655206356,2.5486887435843357,0.3902130352246362
4,987,17838.88503315984,40,19,0,100,2141.9999999999964,4.761904761904762,0.09649249770830316,89.41477300139913,1.5631784628745116,1.5487045882182664,2.614946687895016
5,1086,4155.369186977957,40,23,9,82,2405.9999999999955,0.3304084064565052,91.49062940093162,1.5870436572419022,1.9932835012458023,4.598635034124146
6,1216,6439.291189335176,40,19,10,80,2131.999999999999,0.10181704260651625,95.25375939849624,0.7362155388471177,0.5717418546365914,3.336466165413534
7,1249,11364.586432663391,40,22,8,84,2229.999999999997,0.0800640512409928,94.65350057824037,0.7116804554754915,4.167778667378347,0.3869762476647985
8,1088,10403.26245059522,40,23,6,88,1899.9999999999968,0.2054498269896194,93.43101211072664,1.3083910034602078,3.622404844290658,1.4327422145328716
9,1243,7615.993414742814,40,20,10,80,2967.999999999993,0.257441673370877,93.29042638777153,4.629927594529365,1.082059533386967,0.7401448109412712
10,1067,20067.87650058229,40,24,1,98,2816.0000000000014,0.09372071227741331,89.64971883786318,3.303655107778819,4.850046860356138,2.102858481724461
11,1315,23840.84804715688,40,29,2,96,2033.9999999999964,1.126857932941583,91.27549256826822,4.749395091600415,1.1545108883511925,1.6937435188385759
12,1034,4415.198120663973,40,21,9,82,2095.999999999998,0.09671179883945841,93.64247174997456,1.5779293494859004,1.0231090298279548,3.659778071872137
13,1246,1536.9426575793113,40,21,13,74,1033.9999999999968,0.14361747064289934,97.00937737602432,0.5575737095547858,0.8067922615527583,1.482639182225226
14,1352,25752.312834480737,40,23,3,94,1757.9999999999968,0.5525583014270795,94.48311869126347,1.209537069265576,1.692481726418378,2.0623042116254786
15,1069,20326.53343034315,40,19,0,100,3946.000000000007,4.761904761904762,0.0890908280992472,85.64746759321129,1.4388168738028422,2.5390886008285447,5.523631342153324
16,1239,-7093.607247305571,40,18,17,66,1685.9999999999968,0.08071025020177562,96.42306845696673,0.61633281972265,0.48426150121065376,2.3956269718981584
17,1203,2258.435523119593,40,23,12,76,1787.9999999999986,0.3667302332404283,95.14938144833994,0.7774680944697081,0.4791941714341597,3.2272260525157694
18,1353,2781.2775728066167,40,23,14,72,936.0000000000002,0.07390983000739099,97.81748619625233,0.14781966001478197,0.16955784531107346,1.7912264684144166
19,1532,17206.525130721286,40,24,10,80,2004.0000000000018,0.31005221932114885,95.32881853785901,0.58338772845953,0.8118472584856397,2.9658942558746744
20,1366,5370.472803778219,40,22,13,74,1412.0000000000016,0.07727346673173906,97.10021148527736,0.23182040019521716,0.028469171953798604,2.562225475841874
21,1112,-827.5072436340395,40,18,12,76,1939.9999999999966,0.24117069980379333,94.55526487900588,0.5518312622629169,3.172007848266841,1.4797253106605623
22,1175,-7480.239363268757,40,24,16,68,1117.9999999999982,0.48936170212765956,96.3776595744681,1.930851063829787,0.5531914893617021,0.6489361702127661
23,1322,8084.722441346318,40,24,10,80,1147.999999999997,0.09928139183055977,96.74735249621784,1.853252647503782,0.5342284417549168,0.7658850226928897
24,1569,14030.213209991116,40,18,12,76,1450.0000000000002,0.06373486297004463,97.78086795295206,1.877281418390405,0.15933715742511154,0.11877860826235588
25,1091,21380.897772785742,40,18,0,100,3336.000000000001,4.545454545454546,0.09582534788767601,87.29689192567285,3.0872427297725187,3.766352803933005,1.2082326472793932
26,1266,14169.083648140457,40,25,7,86,1570.0000000000016,0.4423380726698262,95.0974196945761,3.270142180094787,0.421274354923644,0.7688256977356502
27,1318,12017.30680694158,40,26,8,84,1482.0000000000055,0.13006720138738348,95.20377194884026,1.8859744201170605,0.7804032083243008,1.999783221331021
28,1117,21814.597053390076,40,17,0,100,3515.999999999999,4.3478260869565215,0.0856331010859834,87.26791483398854,1.7944027091199255,1.541395819547702,4.962827449301312
29,1183,557.9564542559536,40,21,12,76,1755.9999999999982,0.1646127152200026,95.60884459669886,0.8631045068292031,0.4849401610535214,2.8784980201984247
30,1270,8498.114530479961,40,23,10,80,1535.9999999999993,0.17600741083835109,95.3635942566003,0.6252894858730893,1.079203334877258,2.755905511811024
31,1266,18611.577166065683,40,23,5,90,2785.9999999999973,0.14868506644363913,91.95242077873804,2.4811820462782266,1.5751324226373014,3.8425796859027965
32,1084,8530.495038568208,40,19,7,86,3654.0000000000027,0.3250746793182217,90.26972412581267,2.3282375680899667,5.372518010894396,1.7044456158847303
33,1021,19300.220708222816,40,20,0,100,2757.9999999999986,5.0,0.10284035259549458,87.12047012732616,5.122428991185112,1.5279138099902054,1.126346718903036
34,1368,21967.854271257005,40,23,5,90,1763.9999999999952,0.09459924320605434,94.32834537323701,2.0166838665290676,1.6812865497076022,1.8790849673202614
35,1249,9696.090309976842,40,22,8,84,1900.000000000002,0.13344008540165467,95.2895649853216,0.6760964327017168,3.4160661862823596,0.4848323102926786
36,1275,12517.16587171007,40,25,8,84,2014.0000000000018,0.350326797385621,93.88235294117649,1.2601307189542483,0.8522875816993465,3.6549019607843136
37,1189,10000.536621417756,40,22,8,84,2293.9999999999973,0.14017381553125877,93.52396972245583,1.0419586954490234,1.1167180637323615,4.17717970283151
38,1245,3414.387400207557,40,23,11,78,1343.9999999999975,0.28348688873139616,96.13985353177418,0.5386250885896527,0.6850933144342074,2.3529411764705883
39,1220,-3693.4301499757426,40,25,15,70,1616.0000000000023,0.5191256830601093,95.38251366120218,3.431693989071038,0.4644808743169399,0.2021857923497268
40,1240,11275.465913650616,40,15,8,84,2756.0000000000036,0.08064516129032256,94.46129032258067,1.8870967741935485,1.093548387096774,2.4774193548387093
41,1321,7965.9287640819475,40,22,11,78,1757.9999999999975,0.29859534023046513,95.81966523677347,2.561191016906384,0.8369080662797543,0.48364033980990834
42,1374,9916.349561495974,40,26,11,78,1352.0000000000014,0.3483052609690165,96.1582449573716,2.4381368267831154,0.727802037845706,0.3275109170305677
43,1165,2574.804131691395,40,18,11,78,2440.000000000002,0.0858369098712446,94.81076863051113,0.6515801794771752,0.42918454935622313,4.022629730784238
44,1510,10167.95644462051,40,21,12,76,1696.0000000000025,0.23701638201463912,96.80724991286164,0.38689438828860234,0.2370163820146393,2.331822934820495
45,1237,6758.172797719241,40,22,10,80,1288.0000000000025,0.08084074373484235,96.98194556723257,2.425222312045271,0.3862391089553579,0.12575226803197703
46,1209,24824.614755115126,40,24,0,100,2752.0,6.25,0.25847808105872616,84.30521091811414,3.5359801488833744,2.3314722911497108,3.3188585607940446
47,1172,-7883.9420530397965,40,18,16,68,1183.9999999999964,0.08532423208191124,96.58703071672352,0.5739993794601302,1.1169717654359292,1.6366739062984796
48,1219,2694.462148316949,40,24,11,78,2176.0000000000005,0.11279737489745693,93.38084495488103,1.1177194421657097,1.0767022149302707,4.311936013125513
49,1089,11038.6054525648,40,20,6,88,2305.9999999999995,0.09182736455463726,93.33792470156106,0.9504132231404958,1.3682277318640956,4.251606978879706
50,1179,9473.859490943601,40,25,7,86,1423.9999999999989,0.23748939779474126,96.17189708792762,2.572801809443031,0.5654509471303364,0.4523607577042691
51,1243,26137.242805139802,40,24,0,100,2676.000000000003,6.25,0.35699919549477077,85.47365245374097,1.66934835076428,1.5486725663716814,4.701327433628318
52,1337,1854.3583099210532,40,20,14,72,1687.999999999997,0.20942408376963348,96.36499626028423,0.5871353777112939,2.3597606581899777,0.4786836200448767
53,1248,-1238.3842703814446,40,18,14,72,1304.0000000000005,0.08012820512820512,97.3812645687646,0.2950174825174825,0.24402680652680653,1.999562937062937
54,1399,12929.671785671144,40,18,10,80,1726.000000000002,0.090974072389369,96.67294820976021,0.5555916563779323,0.5231009162388719,2.1573851452336084
55,975,17393.474360630124,40,15,0,100,4572.000000000002,4.0,0.11487179487179482,85.19794871794872,3.0605128205128205,1.4235897435897436,6.2030769230769245
56,1130,22530.878676661578,40,27,0,100,2108.0,7.6923076923076925,0.10891763104152481,84.13206262763785,2.5595643294758337,3.9482641252552755,1.5588835942818242
57,1612,5681.288193062905,40,24,17,66,1439.9999999999982,0.14345533498759308,96.80908808933003,2.2138647642679903,0.43424317617866004,0.399348635235732
58,1126,22194.103710348685,40,18,0,100,3361.9999999999977,4.545454545454546,0.18973034070725012,87.10641046342644,2.1677700629743257,1.562247699015017,4.428386888422413
59,1394,10165.61146084455,40,21,11,78,1434.0000000000014,0.1510231820584461,97.1418862795439,2.344634901457374,0.21143245488182433,0.15102318205844598
60,1159,13223.011204188262,40,23,5,90,1933.9999999999968,0.08628127696289904,95.17839922854388,0.6394965233720753,0.45170786174694205,3.644115109374207
61,979,17314.177556722138,40,25,0,100,2295.9999999999973,6.666666666666667,0.20429009193054132,84.1947565543071,2.8123935989104525,2.7170582226761995,3.404834865509023
62,1514,31046.660587901595,40,19,2,96,2659.9999999999895,0.09121217839843995,94.3322639491728,1.745612379694282,1.4845568346228846,2.346354658111593
63,1121,7226.7429037016545,40,20,8,84,1653.9999999999995,0.08920606601248883,95.03122212310437,1.0214094558429974,1.2801070472792149,2.578055307760928
64,1113,-5979.109463648242,40,24,14,72,1166.0000000000005,0.08984725965858043,96.56334231805931,2.9930368373764598,0.16284815813117703,0.19092542677448338
65,1132,22024.02689715748,40,30,0,100,1966.000000000004,10.0,1.007067137809187,79.79681978798588,1.519434628975265,5.786219081272085,1.890459363957597
66,1175,21802.52880220567,40,22,2,96,2782.000000000003,0.42080378250591016,92.23167848699764,1.6406619385342789,1.1914893617021276,4.5153664302600465
67,959,16717.37664939385,40,23,0,100,2965.999999999993,5.882352941176471,0.09814144635956573,83.28528491688644,3.4226829417898545,4.134208427896706,3.1773293258909403
68,1143,21005.8791721852,40,20,1,98,3094.000000000001,0.11373578302712162,91.6972878390201,2.248468941382327,1.5354330708661414,4.405074365704287
69,1233,13443.33814754479,40,18,7,86,2255.9999999999977,0.08110300081103003,94.60665044606652,1.0727715107277151,1.2349775123497748,3.004497530044975
70,1287,12871.78849406604,40,27,8,84,2560.000000000001,0.8666547128085589,91.46494531109917,5.582451736297891,1.2013627398242783,0.8845854999701153
71,1240,26522.52758859976,40,24,1,98,2269.9999999999973,0.20161290322580644,92.92842741935485,3.755040322580645,1.7641129032258063,1.3508064516129032
72,1230,13743.34913683842,40,21,7,86,2258.0000000000027,0.2781343602909714,94.86949080017115,0.8215661103979461,0.2995293110825845,3.7312794180573388
73,1295,13131.674781901445,40,18,8,84,2748.000000000002,0.13689013689013693,94.45770445770447,3.538083538083538,1.1477711477711476,0.7195507195507195
