episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health
84,462,944.5050705554025,10,7,2,80
85,732,2656.319418052074,10,7,3,70
86,465,1115.4102514417077,10,4,3,70
87,618,2199.9233058017953,10,6,2,80
88,477,1216.136431555202,10,5,2,80
89,458,392.22529024305487,10,8,5,50
90,565,2219.8248853030254,10,8,0,100
91,625,2301.92427953753,10,6,1,90
92,402,445.4317280948716,10,7,3,70
93,893,4104.089640264898,10,6,2,80
94,550,2027.2566285627775,10,5,2,80
95,653,2032.7623083378103,10,7,4,60
96,519,1737.4046765932553,10,6,2,80
97,408,635.3131750885116,10,5,3,70
98,623,2417.022068044843,10,6,2,80
99,651,1433.3404247645842,10,7,4,60
100,503,1020.971760352479,10,7,4,60
101,708,2920.0062814123503,10,5,1,90
102,432,1083.8088646233832,10,6,0,100
103,427,1025.169181237361,10,5,2,80
104,615,2624.4524875594166,10,5,0,100
105,449,1118.337772437345,10,3,2,80
106,613,2494.2777825587154,10,4,0,100
107,527,1788.759664488552,10,5,0,100
108,421,696.3664388013849,10,5,3,70
109,572,1678.5293371805492,10,4,1,90
110,542,614.9912483783603,10,6,4,60
111,511,1914.1179656191434,10,5,0,100
112,437,1139.5195656167493,10,5,1,90
113,445,802.2683609841074,10,6,2,80
114,536,1433.7011935200403,10,7,2,80
115,467,1716.3067496591907,10,3,1,90
116,474,1194.3266042361895,10,6,1,90
117,498,131.45736532264766,10,5,7,30
118,488,1462.7548883483246,10,7,1,90
119,348,590.3838203817583,10,3,0,100
120,425,1306.2377249215378,10,3,0,100
121,427,1325.6126382398306,10,5,1,90
122,506,1453.278040258892,10,6,0,100
123,598,1967.1731770670795,10,5,2,80
124,387,1254.7025234770074,10,4,0,100
125,429,1086.5268150957909,10,5,2,80
126,490,1678.6745925530279,10,6,1,90
127,374,1061.8715591634736,10,4,0,100
128,447,1565.4765630003722,10,3,0,100
129,587,1970.4920749937799,10,5,2,80
130,604,2699.070848547544,10,3,0,100
131,750,3387.598332415075,10,5,1,90
132,515,1582.6289420671364,10,5,2,80
133,585,2153.3397470328678,10,4,2,80
134,392,1013.4732156122216,10,4,0,100
135,436,1119.7678919955174,10,6,1,90
136,402,877.3005040525463,10,5,0,100
137,543,1953.2065863425698,10,3,1,90
138,483,1549.03867505704,10,5,1,90
139,478,1751.482214400485,10,3,0,100
140,501,1810.4034319160426,10,6,1,90
141,409,888.6603950933478,10,5,2,80
142,754,3260.5741556524345,10,2,0,100
143,544,1583.9763759282453,10,4,0,100
144,562,1922.2190291435431,10,5,2,80
145,514,1575.9328899300147,10,5,1,90
146,658,2436.5634428356734,10,4,0,100
147,607,2141.5444104822272,10,6,1,90
148,662,2417.8888177673357,10,6,1,90
149,434,928.3362170963239,10,6,2,80
150,405,240.72463971374395,10,3,4,60
151,545,1933.21429522482,10,6,1,90
152,591,1697.795897475639,10,6,2,80
153,438,1214.5669226160849,10,4,0,100
154,507,1264.466839005815,10,5,3,70
155,500,1052.253770757108,10,6,3,70
156,538,1593.2758352964129,10,7,2,80
157,551,2231.9982910363105,10,4,1,90
158,435,947.3288913399396,10,5,1,90
159,422,784.3688235817357,10,4,1,90
160,519,745.2422327610809,10,5,3,70
161,443,1236.739578667508,10,3,0,100
162,560,2026.9838097346817,10,6,1,90
163,576,2069.0471079576423,10,3,1,90
164,573,1387.5763943965342,10,6,3,70
165,514,1282.553228515578,10,7,3,70
166,495,735.009977292098,10,8,4,60
167,708,3304.12291992514,10,5,1,90
168,501,1674.8474982814557,10,4,2,80
169,489,1086.911334028169,10,5,2,80
170,558,1839.7707031340256,10,2,0,100
171,532,1593.90476863756,10,5,2,80
172,661,2624.071555059231,10,3,1,90
173,345,627.6784349895262,10,3,1,90
174,507,1431.3387358358616,10,6,2,80
175,524,895.5622094893879,10,5,4,60
176,641,2096.487301336635,10,7,3,70
177,300,270.3851183571532,10,7,1,90
178,506,1192.7114782008678,10,8,2,80
179,508,1382.8484857145402,10,5,3,70
180,525,1066.5401636179752,10,6,3,70
181,623,2062.579283291757,10,4,1,90
182,511,722.8593592905418,10,7,4,60
183,589,1303.932998831985,10,7,4,60
184,569,1177.688961569663,10,8,3,70
185,449,1383.7298784753975,10,6,0,100
186,586,2485.157658869685,10,4,1,90
187,447,981.2987522620148,10,4,2,80
188,461,255.00625698121644,10,7,5,50
189,440,797.6518639845673,10,4,3,70
190,555,1339.7151943904728,10,6,2,80
191,327,610.2798473609619,10,5,0,100
192,669,3071.299212217494,10,5,0,100
193,474,1751.9019509613918,10,5,1,90
194,549,2076.606859628648,10,5,1,90
195,471,730.9942118277112,10,4,4,60
196,402,694.9967593794225,10,6,1,90
197,652,3219.3463527702575,10,3,1,90
198,406,1316.2802106671218,10,3,0,100
199,453,1627.4244779317964,10,5,1,90
200,562,2325.784666403153,10,5,1,90
201,408,885.0926565494191,10,3,2,80
202,601,2181.8181310760547,10,6,1,90
203,573,2098.1617801788157,10,3,1,90
204,1036,5259.810979343672,10,6,1,90
205,543,1219.3897911007723,10,5,4,60
206,637,1111.5827846404193,10,5,5,50
207,617,2603.7429072243344,10,4,1,90
208,533,1583.6468487365958,10,6,2,80
209,586,1854.6918131126677,10,4,2,80
210,542,1770.2632056971654,10,6,2,80
211,442,1322.1453589658145,10,1,0,100
212,519,1297.5458847926004,10,3,1,90
213,511,1669.2426705052178,10,5,1,90
214,501,1752.3078229148487,10,4,1,90
215,458,1298.313172746887,10,6,1,90
216,504,1152.5047364495101,10,9,3,70
217,574,2047.937728792676,10,5,1,90
218,484,1030.0106453698097,10,6,3,70
219,489,1560.6251579744908,10,5,0,100
220,462,708.7509333487982,10,4,3,70
221,458,616.7663926506076,10,5,5,50
222,616,1796.5419942621852,10,6,3,70
223,488,1001.3411278188146,10,9,3,70
224,585,1866.295577296575,10,6,1,90
225,487,743.1393473925323,10,8,4,60
226,678,3267.9993303217866,10,5,1,90
227,961,5194.462995665453,10,4,1,90
228,637,2020.3371889934756,10,4,3,70
229,500,1718.4194476130235,10,5,0,100
230,800,3678.807409841304,10,5,0,100
231,567,2525.960664449558,10,5,1,90
232,631,2363.1541890399717,10,7,0,100
233,437,832.6890129135654,10,6,1,90
234,499,1198.364961894993,10,4,3,70
235,412,1184.0637595605815,10,7,1,90
236,543,1366.1793369892523,10,6,2,80
237,468,870.5203265596431,10,6,1,90
238,570,2011.5672692567025,10,5,2,80
239,400,566.4785845167344,10,4,3,70
240,662,3152.6813452139877,10,5,0,100
241,611,2352.1362948912615,10,7,1,90
242,509,1465.1832571755024,10,5,2,80
243,469,958.1984689913847,10,6,3,70
244,564,1973.9623107567597,10,5,2,80
245,436,1344.359533690123,10,6,1,90
246,526,1335.2627382847702,10,6,3,70
247,444,489.71622067819067,10,3,3,70
248,1010,4955.455713501077,10,5,1,90
249,462,1473.0422067633017,10,4,1,90
250,470,1329.1464048630357,10,4,0,100
251,605,1661.3108338890956,10,6,3,70
252,485,1654.6660652936325,10,6,0,100
253,466,551.5194277586523,10,7,3,70
254,447,823.5122695564316,10,5,2,80
255,500,1632.2595823950069,10,4,2,80
256,566,2203.9577281121105,10,3,1,90
257,498,1091.9588859913586,10,7,2,80
258,536,2259.9921189160373,10,2,0,100
259,438,958.0642922016227,10,6,3,70
260,490,1186.6170614389926,10,5,3,70
261,734,3117.635767096986,10,3,1,90
262,701,2143.124879522065,10,8,4,60
263,456,1211.6136202197458,10,2,2,80
264,505,1252.1892653048117,10,7,2,80
265,589,1979.1110407629953,10,7,2,80
266,426,904.0656498489376,10,5,2,80
267,521,386.6788408850509,10,8,7,30
268,352,776.1934019197524,10,6,0,100
269,814,4484.592454650841,10,5,0,100
270,536,1723.5700098568589,10,8,1,90
271,530,2097.445043084728,10,2,0,100
272,569,1786.3897459484815,10,6,2,80
273,600,2558.5641881221345,10,3,1,90
274,654,2175.481840870864,10,8,1,90
275,554,930.4629077360657,10,7,5,50
276,492,1516.3392815254147,10,5,0,100
277,405,1031.608234143408,10,3,0,100
278,496,1358.2452969616813,10,7,1,90
279,402,1175.1596955653822,10,5,0,100
280,434,938.1275943192649,10,8,1,90
281,492,1720.290077516299,10,3,0,100
282,546,1934.0433192828873,10,3,1,90
283,479,1664.9328466868094,10,3,1,90
284,690,2867.8497485577614,10,5,1,90
285,586,966.9426850701362,10,7,5,50
286,615,2075.824685088352,10,7,2,80
287,371,889.6348870991652,10,5,1,90
288,420,726.0663572997446,10,4,3,70
289,557,1428.989034966516,10,9,3,70
290,610,2000.1419879187972,10,4,1,90
291,581,1619.3377997601324,10,3,2,80
292,506,1102.5150244260144,10,4,3,70
293,522,1773.1244609591267,10,3,0,100
294,499,1602.8445864248824,10,6,0,100
295,488,813.7073055017522,10,6,4,60
296,561,1596.908654768373,10,4,2,80
297,802,4059.918960149713,10,2,0,100
298,520,2006.8884124625604,10,2,0,100
299,645,2764.4952053445622,10,6,2,80
300,360,828.9709682266327,10,5,1,90
301,449,682.8227770057678,10,6,3,70
302,513,1664.9587357464225,10,8,1,90
303,488,1880.5329383197552,10,2,1,90
304,489,1157.3494052312926,10,5,1,90
305,540,1618.1513366576576,10,5,1,90
306,603,2605.2187516581153,10,8,0,100
307,532,1620.734633072407,10,6,0,100
308,652,2136.2253645306123,10,6,2,80
309,566,2374.5458441705964,10,4,1,90
310,415,1344.4567462532439,10,5,0,100
311,666,2219.4388907394846,10,3,2,80
312,501,1496.4677886924003,10,3,2,80
313,424,74.34951601080472,10,6,5,50
314,962,5223.260166599664,10,5,0,100
315,482,1475.7557702766487,10,4,0,100
316,501,1722.7595104173452,10,6,2,80
317,447,-19.44035251273276,10,6,5,50
318,496,1427.1706365045418,10,4,1,90
319,681,3064.0966944721886,10,2,0,100
320,486,1788.1271918739105,10,7,0,100
321,598,1714.7250623994664,10,4,2,80
322,673,2567.841308710001,10,6,1,90
323,508,1851.8097810285815,10,5,1,90
324,488,1974.82424429214,10,5,1,90
325,612,2373.7094416744153,10,5,1,90
326,491,939.8732826453377,10,5,4,60
327,753,3914.5806027783324,10,5,1,90
328,414,689.073420338707,10,6,3,70
329,506,1475.3624250913206,10,5,1,90
330,594,2035.523835621982,10,5,2,80
331,477,1524.406893210344,10,3,0,100
332,497,1401.927827658866,10,6,2,80
333,649,2814.0285259336865,10,6,1,90
334,605,2002.6448071810814,10,5,2,80
335,425,855.7366378696036,10,5,2,80
336,679,2587.7533107302347,10,3,1,90
337,418,822.8558320857564,10,5,1,90
338,613,2324.580964634939,10,5,2,80
339,725,3413.03603882678,10,3,0,100
340,529,2002.4387832311427,10,5,0,100
341,425,507.98560548568923,10,8,3,70
342,503,1660.1412494027652,10,5,1,90
343,586,1493.6814531847158,10,4,4,60
344,425,1241.3319742116562,10,6,0,100
345,420,828.9552990709191,10,6,2,80
346,464,1149.553015671383,10,6,2,80
347,509,1743.3292530980623,10,5,1,90
348,476,966.698363359033,10,6,3,70
349,512,1579.6933136793643,10,7,2,80
350,446,619.8265686833512,10,7,3,70
351,570,2232.5519403007215,10,8,2,80
352,549,1845.0307674086043,10,6,1,90
353,364,946.3915278799182,10,4,0,100
354,428,466.85204202591086,10,4,2,80
355,612,1758.627593743884,10,6,3,70
356,376,902.3090671095098,10,4,0,100
357,595,1861.9340537687356,10,5,2,80
358,627,2041.124463082981,10,8,2,80
359,541,1168.0781713135455,10,4,3,70
