episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
0,1474,2179.3387633967864,40,17,16,68,0.0,3.209250191729101,94.9147542917822,0,0.06784260515603795,0.3451123827502802,1.4630405285823844,0
1,1832,12347.506626899782,40,20,16,68,0.0,2.985807860262009,96.14901746724892,0,0.05458515283842794,0.03820960698689956,0.7723799126637555,0
2,1639,15752.428067809806,40,16,11,78,0.0,3.5667073418751274,95.06558877364246,0,0.061012812690665046,0.050844010575554204,1.2558470612161887,0
3,1902,18627.47173637422,40,20,15,70,0.0,1.6430073606729758,97.35804416403784,0,0.05257623554153521,0.03154574132492114,0.9148264984227128,0
4,1840,20867.935830145598,40,15,13,74,0.0,3.336956521739131,94.93695652173912,0,0.05434782608695654,0.2695652173913043,1.4021739130434783,0
5,1632,21898.94384318113,40,16,9,82,0.0,3.6228553921568634,94.38572303921568,0,0.06127450980392155,0.2961601307189542,1.6339869281045754,0
6,1842,24852.34075890745,40,20,11,78,0.0,2.315418023887079,96.68023887079264,0,0.054288816503800234,0.06514657980456026,0.8849077090119437,0
7,1810,19618.3967320928,40,19,12,76,0.0,2.3309655353854244,96.63509602736123,0,0.055248618784530364,0.03683241252302026,0.9418574059458039,0
8,1565,7161.198351962344,40,16,14,72,0.0,3.383919062832801,95.3594249201278,0,0.06389776357827477,0.03194888178913738,1.1608093716719914,0
9,1802,21040.154249371924,40,21,11,78,0.0,2.2343594836146976,96.44254921432326,0,0.055493895671476126,0.31543898592207487,0.9521584204684852,0
10,1841,26742.463967211846,40,20,10,80,0.0,1.6376969038565996,96.83595871808797,0,0.05431830526887561,0.3367734926670288,1.1352525801195006,0
11,1840,22843.945897507914,40,14,12,76,0.0,3.2545986622073575,95.4410535117057,0,0.0543478260869565,0.06270903010033445,1.1872909698996656,0
12,1902,24800.839555120507,40,20,12,76,0.0,2.5630914826498423,96.07781282860147,0,0.05257623554153521,0.07886435331230285,1.2276550998948474,0
13,1632,11611.200990557212,40,20,14,72,0.0,2.389705882352941,95.21446078431372,0,0.061274509803921594,0.039828431372549024,2.294730392156863,0
14,1632,18002.08443715553,40,14,11,78,0.0,3.325320512820513,94.81759049773756,0,0.061274509803921545,0.275735294117647,1.5200791855203617,0
