episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_AEW,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_HOLD_INTCPT,state_PURSUING,state_GO_HOLD_INTCPT
24,1590,40047.93388994284,40,25,0,100,9901.73882609961,13.333333333333334,1.8825995807127884,78.27253668763102,1.2872117400419285,0.9685534591194969,4.255765199161425
25,1084,12245.61867245529,40,26,6,88,10807.796786851295,21.42857142857143,1.8845545598313125,62.70426989984186,2.358987875593042,1.6605166051660516,9.963099630996311
26,1226,18692.403540291467,40,26,5,90,9322.27151524881,21.42857142857143,0.43113493358191557,72.22675367047309,0.6758331391284083,0.5534840363551619,4.684222791890003
27,1318,31670.668701658786,40,16,0,100,16976.77826579781,20.833333333333336,0.06006575619625694,71.94613050075871,1.9821699544764797,0.9705361659079412,4.207764289327263
28,1333,27271.328062728782,40,21,2,96,18144.97827512873,26.315789473684212,1.3187507403166583,63.25265526908043,1.9544359774154068,0.8409997236151142,6.317368815888181
29,984,12443.720374578725,40,26,3,94,7456.000000000003,14.285714285714286,1.9308943089430892,71.98025551684088,2.0688153310104527,0.9581881533101044,8.776132404181185
30,1445,27524.431038642444,40,27,3,94,5964.000000000002,7.6923076923076925,0.9049773755656108,82.82140005323396,1.5224913494809686,1.304232100079851,5.754591429331914
31,1260,22288.93515930393,40,27,3,94,11684.0,23.076923076923077,1.3186813186813187,64.56043956043956,1.6300366300366302,0.7448107448107448,8.669108669108669
32,1088,17885.45093329905,40,29,2,96,8201.999999999998,18.181818181818183,2.782419786096257,63.90374331550802,3.5678475935828877,1.829879679144385,9.734291443850267
33,1409,26578.368948087103,40,30,3,94,5449.999999999999,10.0,1.20652945351313,78.85734563520228,2.5621007806955287,1.802696948190206,5.571327182398865
34,1272,26814.25289935571,40,25,1,98,8398.000000000002,6.666666666666667,0.9696016771488469,83.40146750524109,2.2798742138364783,1.2578616352201255,5.424528301886792
35,1039,15567.078614570757,40,31,2,96,9282.0,33.33333333333333,3.496952197625922,49.20329376537269,2.6628168110362527,1.165650732541974,10.137953160089829
36,1082,20682.95615461292,40,25,1,98,9132.000000000002,20.0,0.8441158348736906,70.40665434380776,2.852741836105976,1.4602587800369684,4.436229205175601
37,989,10509.711939967845,40,29,4,92,7902.000000000002,18.181818181818183,1.277690964243037,62.74473756779115,3.4194319330820844,1.9670925636547474,12.409228789410792
38,1025,18319.881513045177,40,22,1,98,10632.0,16.666666666666664,2.1084010840108403,70.22222222222223,1.6802168021680217,0.9647696476964768,8.35772357723577
39,994,15852.230447321544,40,27,2,96,11413.99999999999,30.76923076923077,1.9888562142083268,53.962234948150446,3.358613217768147,1.872775112211732,8.048289738430583
40,1172,20458.108851703688,40,29,2,96,5552.000000000002,9.090909090909092,1.6677008997828107,78.38194228979211,2.272727272727273,1.5358361774744027,7.050884269314303
41,1237,26132.406823817284,40,24,1,98,11970.0,18.75,2.9405820533548908,68.32053354890864,2.3140662894098627,1.4399757477768798,6.234842360549718
42,1129,22242.320458056223,40,27,1,98,10520.53721176288,23.076923076923077,1.819172855488179,61.667915786604894,3.270423110989985,2.773046262860258,7.392518907133611
43,1352,24426.899922234275,40,32,3,94,8272.0,12.5,2.893860946745562,72.22633136094674,2.0340236686390534,2.385355029585799,7.96042899408284
44,1013,10306.962799577746,40,21,5,90,13702.226432175517,15.789473684210527,1.6106406193172962,67.86512183716944,2.758871512443498,1.5846625448121787,10.391229802047071
45,1087,20179.154583553267,40,25,1,98,8864.000000000002,20.0,0.9076970254523152,72.08218337933148,1.9993866911990184,0.7359705611775527,4.274762342839619
46,1156,25987.25098830583,40,13,0,100,14940.868618104534,11.11111111111111,0.6055363321799309,74.75009611687811,2.9027297193387156,2.261950531846725,8.368576188645394
47,1582,30331.005451315963,40,29,4,92,12128.0,27.272727272727273,1.0458567980691875,65.29709228824272,1.4998276060222961,1.005631536604988,3.8788644983335248
48,1185,24248.282167373767,40,27,1,98,11278.984554562312,23.076923076923077,3.1418370658876986,65.10223953261928,0.9087958455047063,7.15352158390133,0.6166828951639077
49,1188,13554.51506393544,40,24,6,88,17466.0,25.0,2.704124579124579,59.311868686868685,1.5519781144781146,0.9943181818181818,10.43771043771044
