episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD_SPREAD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
35,1309,29178.960176968452,40,31,0,100,10760.752507433528,2.5634496222731515,85.73126220185044,3.3443680502504036,1.8674136321195147,6.493506493506494
36,1091,22285.22115278158,40,23,0,100,17771.744544246456,0.4582951420714941,84.38022321669273,5.925486601606727,2.7929045128592223,6.4430905267698275
37,1034,20458.681102061528,40,27,0,100,15023.787755988062,0.8034518672816545,82.47284630263351,7.2533849129593815,2.9831870257402175,6.48712989138521
38,1084,21845.976032687242,40,29,1,98,9614.955572441575,1.132170412613217,88.20865481382087,4.906071787990607,2.0379067427037905,3.7151962428715195
39,1212,26915.493438015226,40,23,0,100,17657.355415568825,0.378567268491555,87.35682391768589,4.314696175499903,1.9025431954960204,6.047369442826636
40,1202,25874.312964301593,40,28,0,100,12729.879155085542,1.5806988352745424,84.22767609539656,4.319190238491403,2.627565169162507,7.244869661674986
41,1194,25700.082806414273,40,30,0,100,11430.088516684606,1.9179229480737021,84.94974874371859,4.0536013400335005,2.0603015075376883,7.018425460636516
42,1231,26979.844668973503,40,24,0,100,14710.259200272587,0.4010966693744923,86.15454914703494,4.09727863525589,2.421811535337124,6.9252640129975624
43,1011,19651.79981440629,40,21,0,100,17831.320958097218,0.35400072882503,86.73538445520329,5.695247019626216,2.0302982976729655,5.1850694986724974
44,1169,25666.922895877775,40,14,0,100,22843.039273793052,0.17108639863130878,88.51418043034808,5.000987036915181,2.3623083503323024,3.9514377837731134
45,1182,24064.66060263636,40,36,0,100,5868.469050763527,4.674280879864636,81.89509306260575,3.8705583756345177,1.1844331641285955,8.375634517766498
46,1020,20346.947837303902,40,21,0,100,17184.396542775066,0.8926728586171311,84.99999999999999,4.179566563467493,2.8173374613003093,7.110423116615067
47,988,18615.722957520273,40,26,0,100,15159.16105175398,1.5182186234817814,77.86292654713708,5.422209369577791,12.196356275303643,3.0002891844997106
48,1324,30266.4711606568,40,22,0,100,19500.1452021756,0.4993286337697215,85.20057066129573,5.698220879489762,3.012755958375293,5.589123867069485
49,1048,20594.860562904636,40,26,0,100,14534.515109365399,0.5793347873500545,85.52344601962923,4.43020719738277,1.928844056706652,7.538167938931298
