episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD_SPREAD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
0,1174,24606.52819689545,40,25,0,100,16480.81005661748,1.1243611584327087,83.03236797274276,3.6399772856331634,3.0266893810335036,9.176604202157865
1,1027,19790.335741266772,40,29,0,100,10716.998115910981,1.2835265999822962,85.37664866778792,4.558732406833673,1.9739753916969105,6.807116933699213
2,1242,27290.254003687944,40,25,0,100,15057.078202359977,0.37573805689747725,87.54159957058509,5.12614063338701,2.0880300590445513,4.868491680085883
3,998,19614.283659516277,40,20,0,100,19310.795082408382,0.2955911823647295,84.7995991983968,7.3346693386773545,3.206412825651303,4.36372745490982
4,1227,24573.164125809326,40,26,1,98,13838.915245769233,1.35056467574805,86.95424380020958,3.4346256840144376,1.612527651647456,6.648038188380487
5,1220,26664.198814297462,40,25,0,100,15363.966337020078,0.22950819672131148,88.96721311475409,5.185792349726776,2.120218579234973,3.497267759562842
6,1137,23919.628252438695,40,25,0,100,13104.70165461014,0.4573438874230431,88.43154500146586,4.4913515098211665,2.134271474640868,4.485488126649076
7,1006,19387.376551298425,40,26,1,98,13333.956521056274,0.5538199375177506,85.969894916217,4.054245952854302,1.540755467196819,7.881283726214144
8,1100,23237.977074167746,40,26,0,100,14109.85715457082,0.2532467532467533,86.47402597402598,6.688311688311688,3.285714285714285,3.2987012987012982
9,993,18372.709747824527,40,25,0,100,14489.296154286547,0.47667002349781806,83.47767707284324,6.800939912722389,2.6988922457200406,6.545820745216516
10,1165,25023.364689795508,40,26,0,100,14258.69440968165,0.30656039239730226,87.22869405272839,4.334763948497854,2.4095646842427954,5.72041692213366
11,1010,19486.84902829256,40,25,0,100,13004.803139806952,0.4488448844884489,86.15841584158414,4.534653465346535,2.8052805280528057,6.0528052805280534
12,1136,24253.04454930882,40,23,0,100,15779.304119368011,0.44014084507042256,87.37054681027342,5.090099420049711,2.8790389395194698,4.220173985086992
13,1255,28457.855654461157,40,27,1,98,11838.960433111832,0.5209929512718358,91.17989580140976,1.8510573092246398,1.1768311369904998,5.271222801103279
14,873,13133.57054563182,40,26,1,98,12063.965334765173,0.7445589919816724,84.53608247422679,4.410080183276061,3.411880216003927,6.897398134511536
15,1129,19317.748943187977,40,31,3,94,9290.634502141878,3.6118492274382445,82.67887018994195,1.9092608995177642,0.8168487353606928,10.983170947741362
16,1179,24868.670160329053,40,32,0,100,9661.694154209055,2.374893977947413,85.59160305343511,3.986429177268872,2.374893977947413,5.672179813401188
17,951,17602.701767585986,40,26,1,98,14171.652125924298,0.5107405738320565,84.43743427970557,4.701817635571579,3.0419107706173953,7.308096740273396
18,1305,28505.36117747023,40,35,1,98,6780.521622801634,5.5632183908045985,78.51340996168582,3.003831417624521,1.3180076628352488,11.601532567049809
19,1120,23904.56658569661,40,20,0,100,17274.07663075164,0.4776785714285714,87.98214285714286,5.303571428571429,2.1741071428571432,4.0625
20,1087,22343.718931801246,40,23,0,100,16545.360493264845,0.24893121922181938,86.33042913577573,5.584717787759079,2.7490665079279184,5.08685534931544
21,911,16268.042768277463,40,25,0,100,14349.362844554793,0.18294914013904134,84.41273326015367,6.337358214416392,4.398097328942554,4.668862056348335
22,937,13061.572701127709,40,26,2,96,12886.642684602522,1.5246226558926665,83.11480408598871,3.6743406007013273,2.485134929105046,9.201097728312241
23,1134,24296.30160071049,40,22,0,100,16579.189035066716,0.20576131687242794,87.92377033117775,5.776014109347442,2.209484616892024,3.884969625710366
24,1083,21963.7378608193,40,29,0,100,10675.632754457183,1.939058171745152,86.94703265340384,3.3492822966507174,1.3682531688071853,6.3963737093931
25,1011,19621.857966942836,40,25,0,100,14492.289040277457,0.3890537421694692,83.63336630398945,7.174414770853939,2.789317507418398,6.013847675568744
26,863,14919.790236061648,40,20,0,100,17721.631502116477,0.5388180764774044,82.94322132097335,5.365005793742759,2.7809965237543457,8.371958285052145
27,1077,21766.845918920408,40,21,0,100,19821.262216585343,0.7134828715242145,81.77686556223426,6.978448907784781,2.761080975419049,7.770121683037678
