episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD_SPREAD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
28,1050,20370.854889302755,40,28,0,100,12629.370898556286,0.5793650793650794,86.77777777777777,5.5396825396825395,1.8253968253968254,5.277777777777778
29,1069,21271.41301141313,40,28,0,100,12822.364518956962,1.7539756782039286,85.47708138447146,3.3130651699407543,1.0212036170876209,8.434674150296228
30,1093,22451.45928420089,40,26,0,100,12239.644400888887,0.3725003267546726,87.09972552607502,5.3130309763429615,2.914651679519017,4.300091491308326
31,1054,18819.51430819827,40,32,1,98,8576.86992245971,4.542220113851992,80.57400379506642,10.258538899430741,2.905597722960152,1.7196394686907022
32,1060,21114.108296385177,40,23,0,100,15477.111115581723,0.21642619311875697,88.07436182019978,2.386237513873474,4.417314095449501,4.90566037735849
33,930,16666.408774514555,40,28,0,100,12115.621188663637,0.8512544802867383,81.61290322580643,6.406810035842293,3.387096774193548,7.741935483870967
34,1293,24387.032971903016,40,31,2,96,10477.922630883328,2.535017616224113,85.15081206496521,3.480278422273782,1.2288390478645699,7.605052848672338
35,1143,24196.7393038349,40,25,0,100,16036.725853512882,0.379119276757072,85.08603091280257,5.412656751239429,3.4120734908136483,5.710119568387285
36,1149,23987.33080243242,40,28,0,100,11443.802807461921,0.18856977081520165,88.5987815491732,5.07687844502466,3.314476356251813,2.8212938787351325
37,1018,20036.38815036533,40,24,0,100,15100.696726691414,0.7490176817288803,83.88384086444006,5.286100196463653,2.9223968565815324,7.158644400785855
38,1252,25220.918092183696,40,30,1,98,10006.200978392812,0.8785942492012779,88.01916932907348,2.492012779552716,3.578274760383387,5.031948881789138
39,1139,24195.785897568105,40,23,0,100,15529.939799590484,0.6765480555699014,84.83189588390228,6.088932500129112,2.4118163507720904,5.990807209626608
40,1196,25560.15536969597,40,28,0,100,12112.546110533802,0.898829431438127,84.56661092530658,5.553232998885173,2.8776477146042363,6.103678929765886
41,1078,22220.710805900042,40,28,0,100,12179.43582966473,1.7702535559678416,83.89764996907854,3.1539888682745825,2.728818800247371,8.449288806431664
42,1237,27070.004199210365,40,23,0,100,17237.89481279255,0.22825621760426082,85.92895525227067,5.32122307289933,1.997241904037282,6.524323553188455
43,1033,18164.516553955822,40,26,1,98,12056.430315362339,0.4356243949661181,85.880237864749,4.2940118932374505,2.2196100124464113,7.170515834601023
44,1233,28301.899978477133,40,12,0,100,24583.2253463066,0.37944618236589034,88.96709535395668,4.037770826091994,1.7900590893291621,4.825628548256286
45,1343,30657.276057434414,40,31,0,100,9702.92361513567,2.1841648051625713,85.45544800198562,3.5823612145280053,2.109704641350211,6.668321336973608
46,1116,22629.981916605837,40,27,0,100,15072.947603983172,1.1510890543148604,82.09953129307968,5.0592776399228,9.050179211469533,2.639922801213124
47,1138,23646.508609565484,40,25,0,100,14633.236035811808,1.0017574692442883,85.65905096660809,4.065612185120093,2.1851200937316926,7.088459285295841
48,1128,23713.029908455683,40,24,0,100,14720.711144160608,0.17730496453900707,87.4889184397163,5.701462765957447,3.673537234042553,2.958776595744681
49,1298,28837.435393674365,40,25,0,100,15434.02707634004,0.24653312788906012,86.81561376476631,4.971751412429379,3.3590138674884438,4.60708782742681
