episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_AEW,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD_SPREAD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
39,962,19138.43887931124,40,23,0,100,21673.100397419737,29.411764705882355,1.0761893114834293,59.61844197138315,3.0573559985324694,1.6326281032163383,5.2036199095022635
40,1030,20507.367246286052,40,27,0,100,17199.514106309452,23.076923076923077,2.2404779686333085,61.68035847647498,3.5623599701269604,2.1433905899925314,7.296489917849141
41,1181,25659.9203081828,40,27,1,98,18147.236429957997,15.384615384615385,2.455546147332769,66.3844199830652,4.36396795414577,2.064743046961506,7.69882107731388
42,1047,21378.061096971254,40,27,0,100,16763.933236534944,15.384615384615385,1.2489897876717362,70.69282198222027,3.5045184042318716,2.7036955403717586,6.465358900888987
43,1097,23184.99954837074,40,24,0,100,19181.341316854203,18.75,0.4386964448495898,70.43641750227894,4.20464904284412,2.1536007292616226,4.0166362807657245
44,1225,28058.32129440602,40,14,0,100,30882.069796650074,15.384615384615385,0.5839874411302981,73.66718995290424,2.2072213500784934,0.9952904238618524,7.161695447409733
45,973,18698.13743761504,40,27,1,98,17286.907679484895,30.76923076923077,3.976598940627717,51.57719977863862,1.5179065538777767,1.1068068622025458,11.052257095422561
46,1333,29901.709258580253,40,30,2,96,17621.314729452344,30.0,4.1410352588147035,54.92873218304577,1.8229557389347337,0.29257314328582146,8.81470367591898
47,1357,31103.650891945683,40,25,2,96,22550.90155589315,20.0,2.7511667894866125,65.2370424957013,2.083026283468435,1.3657577990665686,8.563006632277082
48,1585,38960.165180951146,40,24,0,100,25677.62372279513,25.0,0.7216088328075709,66.88091482649844,2.921924290220821,1.186908517350158,3.288643533123029
49,1206,26596.97251651303,40,26,0,100,17920.119356647472,21.42857142857143,1.2970859985785361,67.09310589907604,3.435204927742241,1.8419805733238566,4.90405117270789
