episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_AEW,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD_SPREAD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
0,1130,23267.228336189935,40,26,0,100,18438.574257388114,14.285714285714286,2.092288242730721,70.4614412136536,3.8369152970922875,1.8773704171934262,7.446270543615677
1,1127,23313.844234340148,40,31,0,100,12354.496458015927,22.22222222222222,4.150645765552598,61.52026027802425,2.1887015675835553,1.7844819087055113,8.133688257911862
2,1120,24352.324860377204,40,25,0,100,18580.872377683412,20.0,1.9226190476190477,65.22023809523809,3.0059523809523814,1.8690476190476188,7.982142857142858
3,1171,25993.414874696497,40,21,0,100,22567.192816352817,15.789473684210527,0.4899096588610723,74.43930064272553,3.029349633691401,1.7933390264730997,4.458627354038383
4,1362,31213.56623623407,40,27,0,100,21005.363095123634,23.076923076923077,2.4342030949960463,64.43578447983735,2.372077261945104,1.174743024963289,6.50626906133514
5,1520,36888.92918660305,40,27,0,100,23048.927064617343,30.76923076923077,1.189271255060729,61.695344129554655,2.2925101214574894,1.239878542510121,2.813765182186234
6,1092,22149.4715747346,40,24,0,100,20411.11953621247,25.0,0.5437271062271062,64.73786630036629,3.6801739926739936,1.9345238095238095,4.103708791208791
7,899,16197.866154083615,40,26,0,100,15287.316653718983,14.285714285714286,1.914825997139679,69.08469728269506,4.4017161925949475,1.2394724296837756,9.073573812172254
8,1321,29849.835861834057,40,29,0,100,14727.947562257405,9.090909090909092,0.8395843369348288,80.25600440437685,3.743720322070057,2.3673525566031244,3.7024292891060493
9,1277,28900.587979632244,40,25,0,100,20047.601745987267,20.0,1.1224223440355,69.87209605847038,2.464108587836074,1.7280083529104673,4.813364656747585
10,1240,27587.037402700837,40,26,0,100,20926.392304253328,14.285714285714286,1.5668202764976957,70.75460829493088,3.796082949308756,2.171658986175115,7.425115207373272
11,1078,22460.28517447403,40,24,0,100,20633.240183706814,25.0,1.8668831168831166,62.01878478664192,3.6641929499072363,2.000231910946196,5.449907235621521
12,1363,32097.794211909244,40,25,0,100,17816.539149692988,13.333333333333334,1.7461482024944974,74.0963560772805,2.9982880899975544,1.594521887992174,6.231352408901932
13,1058,21563.70257022843,40,29,1,98,15299.643375266607,18.181818181818183,1.9161367932634472,64.07458326172882,4.794638253995532,3.4456092112046743,7.587214297989345
14,999,19003.846761858076,40,26,1,98,17676.40040471172,21.42857142857143,2.016302016302016,62.169312169312185,3.210353210353211,2.5668525668525666,8.608608608608607
15,951,16760.14326604659,40,32,2,96,11185.114331882001,37.5,4.298107255520505,45.649316508937964,0.9200841219768665,10.002628811777077,1.6298633017875916
16,1160,23930.292129225425,40,33,1,98,12071.968791419933,28.571428571428573,4.704433497536946,58.87931034482759,1.625615763546798,0.7019704433497537,5.517241379310345
17,976,19326.96159205325,40,28,0,100,14348.967569412474,16.666666666666668,2.9286202185792347,68.81830601092896,1.2807377049180326,0.9221311475409836,9.383538251366119
