episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state_HOLD_-_NO_ENOUGH_COMM,state_HOLD,state_GO_HOLD_INTCPT,state_HOLD_INTCPT,state_PURSUING
24,1569,14030.213209991116,40,18,12,76,1450.0000000000002,0.06373486297004463,97.78086795295206,1.877281418390405,0.15933715742511154,0.11877860826235588
25,1091,21380.897772785742,40,18,0,100,3336.000000000001,4.545454545454546,0.09582534788767601,87.29689192567285,3.0872427297725187,3.766352803933005
26,1266,14169.083648140457,40,25,7,86,1570.0000000000016,0.4423380726698262,95.0974196945761,3.270142180094787,0.421274354923644,0.7688256977356502
27,1318,12017.30680694158,40,26,8,84,1482.0000000000055,0.13006720138738348,95.20377194884026,1.8859744201170605,0.7804032083243008,1.999783221331021
28,1245,9439.169784277992,40,17,9,82,2311.9999999999973,0.08032128514056226,94.96071241487692,0.8800419067574649,1.002269949362668,3.0766544438624064
29,1086,8418.602959614276,40,20,7,86,2922.0000000000027,0.3959484346224678,91.96132596685082,1.3121546961325965,5.170349907918968,1.160220994475138
30,1127,-558.9066323143047,40,20,12,76,1796.0000000000002,0.1597160603371783,95.3105590062112,0.7054125998225377,1.0647737355811888,2.759538598047915
31,1100,866.4332379922678,40,17,11,78,1727.9999999999993,0.09090909090909093,95.9090909090909,2.7035573122529644,0.6205533596837944,0.6758893280632412
32,1461,6371.811219609934,40,21,14,72,1721.9999999999995,0.25577290248207785,96.58849382182355,2.564933895313232,0.280989949205663,0.3098094311754746
33,1196,23105.483213521784,40,20,1,98,2064.000000000002,0.13795986622073575,94.89966555183946,0.9448160535117056,0.785953177257525,3.2316053511705687
34,912,13190.3873601844,40,22,1,98,2757.9999999999964,0.773635477582846,89.70516569200778,6.024610136452242,1.6020955165692004,1.894493177387914
35,1187,-786.7925189244106,40,21,13,74,1713.9999999999966,0.19952999600940008,95.08269409834612,0.8380259832394804,1.1173679776526406,2.762381944752361
36,1251,16096.497195247168,40,24,6,88,2332.0000000000005,0.1298960831334932,93.59512390087929,4.656274980015986,1.0391686650679455,0.5795363709032774
37,1102,2305.0282131204913,40,24,9,82,1521.9999999999998,0.24387477313974587,94.60072595281306,1.1116152450090744,1.083257713248639,2.960526315789474
38,1371,7765.770725857587,40,18,11,78,2370.000000000003,0.08288575028181157,95.40481400437639,2.8545852397055897,0.9913135733704661,0.666401432265765
39,1046,-1712.9452858695304,40,25,11,78,1649.9999999999986,0.21032504780114722,94.1555130656469,0.5863607393244104,4.595283620140217,0.4525175270873168
40,1228,8539.714255628112,40,23,9,82,1190.000000000002,0.08143322475570032,96.97260011496455,2.2753401034680976,0.4933895382257137,0.17723701858593602
41,1246,15859.067466737255,40,22,6,88,1578.0000000000002,0.4547886570358479,96.13429641519531,0.37453183520599254,2.6886035313001604,0.3477795612627073
42,1129,-214.85608120516548,40,22,12,76,2120.0000000000005,0.21651412262572584,94.14919791359118,0.713512449562051,0.6347800413345143,4.285995472886528
43,1163,2722.373873431524,40,22,10,80,1469.999999999999,0.08598452278589853,96.14502722843224,0.5541224801757906,2.7753893188115026,0.4394764497945925
44,1130,-804.7119226177294,40,17,12,76,2119.9999999999986,0.08849557522123898,95.0750288572528,0.8464794151596768,1.4544055405925356,2.5355906117737588
45,1197,-2240.9386525139294,40,24,14,72,1627.9999999999982,0.12531328320802004,95.12844611528823,0.4908103592314118,0.6213450292397661,3.634085213032581
46,1107,7257.8176266662285,40,20,8,84,2318.000000000002,0.30261969286359536,94.46251129177959,4.02439024390244,0.9078590785907859,0.3026196928635953
47,1199,8157.127597845769,40,19,9,82,1280.000000000001,0.09531752651018702,97.23976329480917,0.2303506890662854,2.216132491361849,0.21843599825251203
48,1312,12015.263484771589,40,23,8,84,1236.0000000000023,0.25107604017216645,96.98260401721663,0.3452295552367288,0.2465925394548063,2.174497847919656
49,1112,-14030.785039546641,40,19,18,64,1207.9999999999966,0.20983213429256592,97.01096265844468,0.47961630695443647,0.40253511476533066,1.8970537855429943
